KEY	ES	EN	CAT	EUS	GAL	VAL
goku_n	Goku	Goku	Goku	Goku	Son Goku	Goku
goku_d	Son Gokū es el protagonista de la serie de manga y anime Dragon Ball	Son Goku is the protagonist of the manga and anime series Dragon Ball	Són Gokū és el protagonista de la sèrie de màniga i animi Bola de Drac	Son Goku Dragon Ball manga eta anime serieko protagonista da	Son Goku é o protagonista da serie de manga e anime Bola de Dragón	Són Gokū és el protagonista de la sèrie de màniga i animi Bola de Drac
vegeta_n	Vegeta	Vegeta	Veyita	Vegeta	Vexeta	Veyita
vegeta_d	Vegeta aparece por primera vez en el capítulo #204 Sayonara Son Goku publicado en la revista Weekly Shōnen Jump el 7 de noviembre de 1988	Vegeta appears for the first time in chapter #204 Sayonara Son Goku published in Weekly Shōnen Jump magazine on November 7 1988	Vegeta apareix per primera vegada al capítol #204 Sayonara Son Goku publicat a la revista Weekly Shōnen Jump el 7 de novembre de 1988	Vegeta 1988ko azaroaren 7an Weekly Shōnen Jump aldizkarian argitaratutako Sayonara Son Goku 204 kapituluan agertzen da lehen aldiz	Vexeta aparece por primeira vez no capítulo 204 Sayonara Son Goku publicado na revista Weekly Shōnen Jump o 7 de novembro de 1988	Vegeta apareix per primera vegada al capítol #204 Sayonara Son Goku publicat a la revista Weekly Shōnen Jump el 7 de novembre de 1988
gogeta_n	Gogeta	Gogeta	Gogeta	Gogeta	Gogeta	Gogeta
gogeta_d	Gogeta es el resultado de la fusión saiyana nacida mediante la unión entre Goku y Vegeta realizando la Danza de la Fusión de los metamoranos	Gogeta is the result of the Saiyan fusion born through the union between Goku and Vegeta performing the Metamoran Fusion Dance	Gogeta és el resultat de la fusió saiyana nascuda mitjançant la unió entre Goku i Vegeta realitzant la Dansa de la Fusió dels metamorans	Gogeta Metamoran Fusion Dance egiten Goku eta Vegetaren arteko batasunaren ondorioz sortutako Saiyan fusioaren emaitza da.	Gogeta é o resultado da fusión Saiyan nacida da unión entre Goku e Vexeta realizando a Danza de Fusión dos metamoráns	Gogeta és el resultat de la fusió saiyana nascuda mitjançant la unió entre Goku i Vegeta realitzant la Dansa de la Fusió dels metamorans
VELA_n	Vela consagrada					
VELA_d	Vela consagrada por las nalgas de Nel, de olor a vainilla. La llama parece nunca apagarse...					
RATON_n	Ratón muerto					
RATON_d	Este ratón ha muerto de cáncer de colon... Un triste recordatorio de la importancia de las colonoscopias.					
PATXARAN_OJOS_n	Botella de patxarán con dos ojos					
PATXARAN_OJOS_d	Dos ojos flotan en la botella de patxarán marca ¿Anyaroth?. Por alguna razón, se hace más apetecible así...					
PATXARAN_n	Botella de licor de patxarán					
PATXARAN_d	Botella de patxarán marca ¿Anyaroth?. Sabe horrible, pero hace unas fogatas impresionantes.					
OJOS_n	Ojos de lechuza					
OJOS_d	Los ojos de la lechuza son un ingrediente sumamente interesante para los magos por sus propiedades místicas. Y también para los maestros licoreros.					
PEDOS_n	Botella de pedos de Venancio					
PEDOS_d	Preferirías no saberlo... pero los contenidos de esta botella huelen especialmente explosivos.					
LENTES_n	Lentes oscuras					
LENTES_d	Las famosas lentes de sol de Visara. Cuando te las pones, no ves absolutamente nada. Pero ganas en ritmo.					
LANZALLAMAS_n	Lanzallamas					
LANZALLAMAS_d	El culmen tecnológico del momento. La mezcla de metano pestilente, alcohol de dudoso origen y una llama sagrada no deja títere con cabeza.					
HILO_n	Hilo de pescar					
HILO_d	Un hilo fuerte y largo multiusos. Perfecto para pescar, atar regalos, arrancar dientes...					
GAITA_PEDOS_n	Gaita con pedos					
GAITA_PEDOS_d	La famosa gaita de Visara, ahora aún más maloliente. Cuando la aplastas, expulsa pedos a presión.					
GAITA_n	Gaita de Visara					
GAITA_d	La famosa gaita de Visara. No sabes tocarla, pero si la aplastas echa aire a presión. Puedes insertar botellas y objetos en la parte superior para obtener distintos efectos.					
GAITA_LICOR_n	Gaita con licor de pedos					
GAITA_LICOR_d	La famosa gaita de Visara, aún más arruinada. Cuando la aplastas, expulsa un cóctel perfecto para avivar llamas.					
FEMUR_n	Fémur de vaca					
FEMUR_d	Un hueso de tamaño descomunal, demasiado grande para Perrico. Seguro que puede usarse para todo, incluso para hacer instrumentos musicales.					
DENTADURA_n	Dentadura casi a estrenar					
DENTADURA_d	Aún está húmeda... Y le falta un diente... Pero se ve que tiene una mordedura potente.					
CAÑA_SIN_n	Caña de pescar sin anzuelo					
CAÑA_SIN_d	¿Qué esperas hacer con esto? Es obvio que le falta algo.					
CAÑA_CEBO_n	Caña de pescar con cebo					
CAÑA_CEBO_d	La caña de pescar definitiva. Con esto podrías incluso sustituir a Messié. Pero no sabes donde hay peces. Seguro que puede cazar otros animales. Incluso alados.					
CAÑA_ANZUELO_n	Caña de pescar					
CAÑA_ANZUELO_d	Una caña de pescar, con un anzuelo un tanto solitario que te has sacado del bolsillo. Si tan solo tuviera un compañero animal...					
CALABAZA_n	Calabaza 					
CALABAZA_d	Yo no me la llevaría a la boca, pero sus cavidades canalizan el sonido de manera envidiable.					
BIRIMBAO_COMP_n	Birimbao 					
BIRIMBAO_COMP_d	Exótico instrumento musical de aspecto curioso. Seguro que a alguien le interesa.					
